,"이상치제거방법
(현재 - 과거) / (과거)",유효 데이터 수,랜덤포레스트 RMSE,다중회귀 RMSE,XGBoost RMSE,Whisker,비고,,df['min']-df['price'],,,,,,,,,,,,,,,,,
1,min - price (변동률 기준),364,56363,59774,36916,1.5,약 1% 이상치 판정,,Whisker,1,0.9,0.8,0.7,0.65,0.6,0.55,0.5,0.45,0.4,0.36,0.35,0.3,0.25,0.2,0.15,0.1
2,,363,63190,58847,38141,1.4,,,389,347,339,336,333,332,330,327,324,323,320,315,313,307,298,284,261,244
3,,359,54718,56757,34663,1.3,,,랜덤score,0.01904761905,0.02941176471,0.04,0.05,0.02,0.06060606061,0.0404040404,0.02040816327,0.0412371134,0.02083333333,0.02105263158,0.03191489362,0.05376344086,0.04444444444,0.04651162791,0.01265822785,0.04054054054
4,,357,57217,46970,38753,1.2,,,다중score,0.8379776775,0.8800922941,0.9320964868,0.9320964868,0.9231666779,0.9333412709,0.9294331531,0.9199072135,0.8568562614,0.9223709704,0.8712684473,0.8737834716,0.8774866739,0.8583700404,0.8979344878,0.9047952848,0.9097751789
5,,349,65766,40156,31000,1.1,,,랜덤포레스트,45723.12539,60544.44259,58650.9466,50166.79151,67524.42595,55284.03132,50059.00115,62987.287,52784.82609,45277.23988,39375.52597,42208.29093,39440.6356,40946.10007,45431.6752,40051.00004,42017.42762
6,,347,57434,39334,29260,1,약 5% 이상치 판정 (이론상 너무 많다고 함),,다중회귀,39334.3909,48760.1889,55398.19957,55398.19957,52453.16074,55988.88807,56146.77155,53513.53193,39144.03885,55890.00035,31850.56556,30931.60467,36231.07686,33402.1653,44376.36772,38172.92382,36517.69916
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,price1 - price (변동률 기준),369,93205,55662,47248,1.5,,,XGBoost,29259.51445,31116.26153,35173.17281,35173.17281,28992.33369,29275.54924,29060.0369,29571.74189,28695.58937,26392.35211,24943.33126,22848.0048,27735.99897,29061.67301,25911.69271,26537.05461,24256.83391
9,,366,79815,52840,61698,1.4,,,,,,,,,,,,,,,,,,,,
10,,362,87103,46464,70173,1.3,,,df['min']-df['price3'],,,,,,,,,,,,,,,,,
11,,360,59071,33860,46819,1.2,,,Whisker,1,0.9,0.8,0.7,0.65,0.6,0.55,0.5,0.45,0.4,0.36,0.35,0.3,0.25,0.24,0.2,0.1
12,,359,52160,34548,33230,1.1,,,389,348,345,341,335,334,359,354,336,325,316,300,301,288,277,276,265,235
13,,358,60997,37756,33031,1,,,랜덤score,0.0380952381,0.03846153846,0.02912621359,0.05940594059,0.0198019802,0.0462962963,0.03738317757,0.0198019802,0.0306122449,0.01052631579,0.03333333333,0.03296703297,0.03448275862,0.0119047619,0.01204819277,0.0125,0.02816901408
14,,,,,,,,,다중score,0.9684140516,0.9708019091,0.9664536861,0.9691273186,0.9635009035,0.9767098045,0.9735931181,0.9826850378,0.9818188719,0.9849152099,0.978286361,0.9889576348,0.9897042285,0.990862938,0.9915407017,0.9897355321,0.9930663692
15,price2 - price (변동률 기준),368,54689,35527,32510,1.5,,,랜덤포레스트,62765.53881,63573.45277,110394.7714,78292.69898,70055.03179,82046.3921,89616.71209,120847.1097,96918.23616,118326.0701,68196.17213,73035.02045,75825.80488,85165.79934,67240.13739,131342.9934,93312.90314
16,,365,54682.6859,39491.69773,34789.68455,1.4,,,다중회귀,28773.06519,29558.76828,33575.38995,31194.75224,34271.50569,36916.45356,35735.56137,59910.99396,28308.53569,32897.54835,25805.9528,28396.08975,24258.94165,22747.81671,23663.19948,24202.34832,24512.37803
17,,363,52966.56516,34390.42199,35999.07193,1.3,,,XGBoost,48092.73951,76496,85145.7437,28886.45402,29075.11418,36987.80698,50250.41496,53898.21159,71441.04009,75664.58612,24775.28276,30338.63189,22325.94383,30828.90811,22779.55933,67542.00326,68801.00008
18,,362,60195.45015,36706.64698,41159.94313,1.2,,,,,,,4,5,,,,,,3,,1,,2,,
19,,362,54614.79605,36706.64698,41159.94313,1.1,,,df['min']-df['price2'],,,,,,,,,,,,,,,,,
20,,359,47272,33059,28662,1,,,Whisker,1,0.9,0.8,0.7,,0.6,,0.5,,0.4,0.36,0.35,0.3,0.25,0.24,0.2,0.1
21,,,,,,,,,389,372,369,368,365,,359,,332,,315,305,303,297,277,272,262,226
22,price3 - price (변동률 기준),370,65807,36773,39187,1.5,,,랜덤score,0.03571428571,0.07207207207,0.03603603604,0.03636363636,,0.05555555556,,0.02,,0.02105263158,0.02173913043,0.01098901099,0.03333333333,0.03571428571,0.01219512195,0.06329113924,0.01470588235
23,,369,66564.02307,40342.06597,42587.78078,1.4,,,다중score,0.9685170009,0.9682657739,0.9678066339,0.9812050189,,0.9768747487,,0.9819365116,,0.9850051857,0.9837071112,0.9830961556,0.9822910549,0.9858874094,0.9872512605,0.9912552437,0.9937440767
24,,367,61026.022,39753.83359,38135.17955,1.3,,,랜덤포레스트,80505.11448,81418.65457,107877.7475,102979.0795,,78106.73281,,97961.78096,,70068.49519,97343.53122,78854.96562,73725.81214,82139.45117,65107.4185,82472.11342,86157.54153
25,,364,60224.67183,35200.10681,33434.37004,1.2,,,다중회귀,40294.75362,42949.49511,44693.21293,55949.0023,,39119.38434,,36173.57951,,35252.41459,34550.41315,31477.59454,26905.74076,30404.5463,35248.10078,28313.40083,24765.8826
26,,363,62456,37406,43337,1.1,,,XGBoost,33393.8795,48198.67865,50419.51889,53471.78189,,38512.32598,,61165.65777,,30648.88346,26709.39306,62583.6399,34181.98212,33609.71415,41194.46578,65852.76028,67142.28942
27,,361,61210.51798,31930.61264,30830.27821,1,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,df['min']-df['price1'],,,,,,,,,,,,,,,,,
29,min - price1 (변동률 기준),382,63619,44383,44416,1.5,,,Whisker,1,0.9,,,,,,,,0.4,,0.35,0.3,0.25,0.21,0.2,0.1
30,,379,69926.82195,44502.28837,41897.71221,1.4,,,389,355,354,,,,,,,,312,,302,285,268,254,251,232
31,,376,93962,48152,64258,1.3,,,랜덤score,0.02803738318,0.01869158879,,,,,,,,0.05319148936,,0.05494505495,0.02325581395,0.01234567901,0.01298701299,0.02631578947,0
32,,375,93738,47936,55438,1.2,,,다중score,0.9603975476,0.9575433686,,,,,,,,0.9814364625,,0.9838831957,0.985561103,0.9870664203,0.9893511176,0.9858503584,0.9886287637
33,,375,92240,47936,55438,1.1,,,랜덤포레스트,66159.64273,62667.05161,,,,,,,,145172.4281,,61140.20428,72255.67476,77671.02756,129285.8494,59055.44743,57516.88792
